Question,Timestamp,Team,Wager,Answer,Correct (x),Points
1-1,9/20/2020 19:59:12,Blazin Asian,2,don't know,,-1
1-1,9/20/2020 19:59:41,Mack Wickell,2,Jennofer Lawrence,,-1
1-1,9/20/2020 19:59:51,Team Bag-Bo,2,emma watson,,-1
1-1,9/20/2020 20:00:12,Fellowship of the Beer,2,Brie Larson (just cause shes hot),,-1
1-1,9/20/2020 20:00:32,Skinny Legends,2,shrug,,-1
1-1,9/20/2020 20:00:49,Team MBF,2,Kate Hudson ,,-1
1-1,9/20/2020 20:00:52,Team Matigale,2,Jennifer,,-1
1-1,9/20/2020 20:01:02,Team Jax,10,Hillary Swank,x,10
1-2,9/20/2020 20:02:58,Team Matigale,10,War on Terror,x,10
1-2,9/20/2020 20:03:01,Mack Wickell,10,We will rebuild,,-5
1-2,9/20/2020 20:03:06,Fellowship of the Beer,10,(The) War on Terror,x,10
1-2,9/20/2020 20:03:44,Skinny Legends,6,my fellow americans,,-3
1-2,9/20/2020 20:04:00,Blazin Asian,2,not sure,,-1
1-2,9/20/2020 20:04:10,Team MBF,10,we will never forget ,,-5
1-2,9/20/2020 20:04:33,Team Jax,2,Are at War,,-1
1-2,9/20/2020 20:04:36,Team Bag-Bo,2,Send it boys,,-1
