Question,Timestamp,Team,Wager,Answer,Correct (x),Points
1-1,11/15/2020 19:05:10,Mack Wickell,0,Chris Christie,,0
1-1,11/15/2020 19:05:12,Fellowship of the Beer,5,Dustin Johnson,x,5
1-1,11/15/2020 19:05:17,"Not Great, Not Terrible",5,Dustin Johnson,x,5
1-1,11/15/2020 19:05:17,Team MBF,5,Dustin Johnson ,x,5
1-1,11/15/2020 19:05:27,Team Matigale,5,Dustin Johnson!!!,x,5
1-1,11/15/2020 19:05:52,Team Bag-Bo,0,no answer,,0
1-2,11/15/2020 19:06:36,Team MBF,5,BioNTech ,x,5
1-2,11/15/2020 19:07:01,Team Bag-Bo,0,no answer,,0
1-2,11/15/2020 19:07:02,Mack Wickell,0,Chris Christie's Crossoiant Crew (the OTHER 4 Cs),,0
1-2,11/15/2020 19:07:04,"Not Great, Not Terrible",5,BioNTech,x,5
1-2,11/15/2020 19:07:16,Fellowship of the Beer,0,Pfizer! Wait FUCK! DAMNIT WACKELL I THOUGHT I HAD THIS ONE!,,0
1-2,11/15/2020 19:07:29,Team Matigale,0,Pfizer :(,,0
